method,budget,seed,mean_return,success_rate,collision_rate,off_road_rate,timeout_rate,other_rate,mean_speed,mean_ep_length,run_name
Demo-only,10,1,43.988694464491125,0.93,0.045,0.025,0.0,0.0,18.391743894013864,193.61,th_1mh4_demo_only_B10-seed1
Demo-only,10,2,42.843703247603116,0.935,0.055,0.01,0.0,0.0,17.329313857924834,198.56,th_1mh4_demo_only_B10-seed2
Demo-only,10,3,45.40967047275522,0.87,0.115,0.015,0.0,0.0,22.467389850007795,153.905,th_1mh4_demo_only_B10-seed3
Demo-only,10,4,41.13103079978568,0.815,0.135,0.05,0.0,0.0,22.961470638093953,143.725,th_1mh4_demo_only_B10-seed4
Demo-only,10,5,29.479672501204575,0.675,0.28,0.045,0.0,0.0,23.360182751708777,120.76,th_1mh4_demo_only_B10-seed5
Demo-only,10,6,23.12627206753872,0.6,0.395,0.005,0.0,0.0,23.18053446068497,125.235,th_1mh4_demo_only_B10-seed6
Demo-only,10,7,28.931019769421354,0.66,0.32,0.02,0.0,0.0,24.069660068448048,123.805,th_1mh4_demo_only_B10-seed7
Demo-only,10,8,43.909565840050526,0.91,0.075,0.015,0.0,0.0,19.26726824072234,178.24,th_1mh4_demo_only_B10-seed8
Demo-only,10,9,48.007704102413484,0.905,0.085,0.01,0.0,0.0,22.314082885460426,157.39,th_1mh4_demo_only_B10-seed9
Demo-only,10,10,36.0487418251298,0.75,0.125,0.125,0.0,0.0,22.330336221766753,146.6,th_1mh4_demo_only_B10-seed10
Demo-only,100,1,44.7505074126786,0.875,0.115,0.01,0.0,0.0,21.54526883141053,158.27,th_1mh4_demo_only_B100-seed1
Demo-only,100,2,42.55431472988166,0.85,0.095,0.055,0.0,0.0,22.185469827790424,158.135,th_1mh4_demo_only_B100-seed2
Demo-only,100,3,37.21253359450415,0.76,0.215,0.025,0.0,0.0,22.69911033305855,141.85,th_1mh4_demo_only_B100-seed3
Demo-only,100,4,47.64802883743019,0.905,0.07,0.025,0.0,0.0,21.897225430929012,160.56,th_1mh4_demo_only_B100-seed4
Demo-only,100,5,46.52574579801402,0.89,0.11,0.0,0.0,0.0,21.855483272875734,153.745,th_1mh4_demo_only_B100-seed5
Demo-only,100,6,26.376781411156017,0.685,0.195,0.12,0.0,0.0,20.625600213277238,188.17,th_1mh4_demo_only_B100-seed6
Demo-only,100,7,47.33933312983245,0.925,0.07,0.005,0.0,0.0,20.37419185582705,171.175,th_1mh4_demo_only_B100-seed7
Demo-only,100,8,50.133304704071854,0.935,0.06,0.005,0.0,0.0,22.51508840099819,162.03,th_1mh4_demo_only_B100-seed8
