method,budget,n_seeds,mean_return,std_return,median_return,min_return,max_return,seeds_below_zero,success_rate,collision_rate,timeout_rate
Demo-only,10,10,38.288,8.421,41.987,23.126,48.008,0,0.8050,0.1630,0.0000
Demo-only,100,10,43.323,6.953,45.638,26.377,50.133,0,0.8600,0.1130,0.0000
Demo-only,1000,10,41.174,7.183,43.442,25.978,47.426,0,0.8395,0.1365,0.0000
Pref-soft,10,10,-57.744,19.29,-48.116,-96.593,-40.126,10,0.0135,0.4265,0.1720
Pref-soft,100,10,11.544,56.6,37.477,-108.801,47.775,2,0.6900,0.1105,0.1780
Pref-soft,1000,10,45.081,2.583,44.867,41.728,48.404,0,0.8605,0.1210,0.0000
Pref-Bernoulli,10,10,-47.234,6.965,-49.427,-50.398,-27.505,10,0.0330,0.2510,0.0000
Pref-Bernoulli,100,10,-49.719,1.083,-49.685,-52.449,-48.217,10,0.0000,0.1845,0.0000
Pref-Bernoulli,1000,10,-48.851,1.071,-48.806,-49.952,-46.218,10,0.0005,0.2390,0.0000
Hybrid-soft,10,10,42.798,7.059,45.365,23.53,46.703,0,0.8600,0.1215,0.0000
Hybrid-soft,100,10,48.192,2.404,48.837,43.879,51.066,0,0.9325,0.0555,0.0000
Hybrid-soft,1000,10,49.615,1.639,49.688,46.418,51.892,0,0.9275,0.0680,0.0000
Hybrid-Bernoulli,10,10,41.831,4.185,42.537,32.672,48.896,0,0.8480,0.1340,0.0000
Hybrid-Bernoulli,100,10,45.778,1.787,46.196,42.118,47.43,0,0.8870,0.0955,0.0000
Hybrid-Bernoulli,1000,10,42.926,8.277,45.145,20.451,48.705,0,0.8530,0.1350,0.0000
NB-soft,10,10,25.193,30.878,39.398,-47.599,46.413,2,0.7000,0.1490,0.0485
NB-soft,100,10,41.602,19.008,49.236,-11.068,50.298,1,0.8530,0.1125,0.0000
NB-soft,1000,10,41.282,17.608,47.665,-4.892,51.376,1,0.8860,0.0825,0.0050
NB-Bernoulli,10,10,-28.157,37.83,-45.999,-53.814,46.072,8,0.1860,0.2980,0.0000
NB-Bernoulli,100,10,-24.923,34.057,-39.761,-52.615,40.206,8,0.2075,0.2835,0.0025
NB-Bernoulli,1000,10,25.888,27.475,34.167,-47.956,46.262,1,0.7085,0.1975,0.0050
